id,doc_type,pmid,pmcid,doi,sentence,batch_name,vocabulary,sentence_id,relation_type,human_annotated,classifier_score,relation_id,entity1_end_index,entity1_start_index,entity1_ne_type,entity1_entity,entity2_end_index,entity2_start_index,entity2_ne_type,entity2_entity,initial_review_completed,nlp_status,out_of_scope,non_mammalian,status_update_time,possible_reference,already_exists,incorrect_relationship,submit_for_ke,ke_update_time
3738,f,34921407,,,Figure 1Preganglionic parasympathetic neurons of the dorsal motor nucleus of the vagus send efferent cholinergic projections (red) via the vagus nerve to activate nicotinic acetylcholine receptors (nAChR) on postganglionic neurons in the intracardiac ganglia.,pmc_oai_202210,nerve_ganglia_vocab,10047374,anatomical connectivity,False,0.999089,10047377,86,81,structure,vagus,150,139,structure,vagus nerve,,,,,,,,,,
3739,f,20658018,,,"One of the facial nerve branches, the chorda tympani nerve responsible for innervating the submandibular and sublingual glands, would also receive these reactivated viruses and, when stimulating salivation, it would make possible for these agents to pass to the saliva.",pmc_oai_202210,nerve_ganglia_vocab,10047379,structural connectivity,False,0.97965,10047382,23,11,structure,facial nerve,58,38,structure,chorda tympani nerve,,,,,,,,,,
3740,f,23929143,,,This patient's temporal bone CT scans revealed that part of the bullet was located in the tympanic segment of the facial nerve.,pmc_oai_202210,nerve_ganglia_vocab,10047384,structural connectivity,False,0.998224,10047387,98,90,structure,tympanic,126,114,structure,facial nerve,,,,,,,,,,
3741,f,23929154,,,"Donaldson et al.25 observed that the tympanic sinus, located medially to the facial nerve, may extend to well beyond the posterior margin of the fallopian canal.",pmc_oai_202210,nerve_ganglia_vocab,10047389,topological connectivity,False,0.967943,10047392,45,37,structure,tympanic,89,77,structure,facial nerve,,,,,,,,,,
3742,f,21340189,,,The facial nerve (FN) encircles the stapes (S) as in humans and serves the chorda tympani (CT).,pmc_oai_202210,nerve_ganglia_vocab,10047394,anatomical connectivity,False,0.897793,10047397,16,4,structure,facial nerve,89,75,structure,chorda tympani,,,,,,,,,,
3743,f,26410382,,,"CT revealed a hypoplastic middle ear cavity, incudostapedial joint separation, and lateralization of the tympanic segment of the facial nerve, which was observed behind the tympanic membrane (Fig. 1D and E).",pmc_oai_202210,nerve_ganglia_vocab,10047399,topological connectivity,False,0.830967,10047403,141,129,structure,facial nerve,113,105,structure,tympanic,,,,,,,,,,
3744,f,26410382,,,"CT revealed a hypoplastic middle ear cavity, incudostapedial joint separation, and lateralization of the tympanic segment of the facial nerve, which was observed behind the tympanic membrane (Fig. 1D and E).",pmc_oai_202210,nerve_ganglia_vocab,10047399,structural connectivity,False,0.998096,10047402,113,105,structure,tympanic,141,129,structure,facial nerve,,,,,,,,,,
3745,f,26410382,,,"(D) Facial nerve dehiscence of tympanic segment, which is seen behind the tympanic membrane (white arrow).",pmc_oai_202210,nerve_ganglia_vocab,10047408,structural connectivity,False,0.961145,10047411,16,4,structure,Facial nerve,39,31,structure,tympanic,,,,,,,,,,
3746,f,26410382,,,"Since aberrant course of the tympanic segment of facial nerve was identified, further surgical exploration was deferred.",pmc_oai_202210,nerve_ganglia_vocab,10047404,structural connectivity,False,0.995097,10047407,37,29,structure,tympanic,61,49,structure,facial nerve,,,,,,,,,,
3747,f,29699880,,,"The second part of the facial nerve is the tympanic segment which runs posterior-superior to the cochleariform process, superior and lateral to the oval window, and then continues inferior to the lateral semicircular canal.",pmc_oai_202210,nerve_ganglia_vocab,10047413,structural connectivity,False,0.907448,10047416,35,23,structure,facial nerve,51,43,structure,tympanic,,,,,,,,,,
3748,f,29699880,,,"The round window becomes more visible, which means that the tympanic segment of the facial nerve has a wider surface area.",pmc_oai_202210,nerve_ganglia_vocab,10047417,structural connectivity,False,0.998192,10047420,68,60,structure,tympanic,96,84,structure,facial nerve,,,,,,,,,,
3749,f,29699880,,,"8 The tympanic segment roof is normally very thin, causing a tendency for dehiscence in the tympanic segment of the facial nerve when there is an increased angle at the second genu (â‰¥117.87Â Â±Â 9.63), especially in middle ear pathologies such as cholesteatoma or otitis.",pmc_oai_202210,nerve_ganglia_vocab,10047421,structural connectivity,False,0.976521,10047424,14,6,structure,tympanic,128,116,structure,facial nerve,,,,,,,,,,
3750,f,29759935,,,"Then, the chorda tympani was dissected through the takeoff point (mastoid segment) of the facial nerve up to the point when it entered the middle ear.",pmc_oai_202210,nerve_ganglia_vocab,10047426,topological connectivity,False,0.70992,10047429,24,10,structure,chorda tympani,102,90,structure,facial nerve,,,,,,,,,,
