id,pmid,pmcid,doi,sentence,batch_name,sentence_id,out_of_scope
nlp-1-20241028,37859923,PMC10583224,10.7759/cureus.45443,"The recurrent laryngeal nerve (RLN), which supplies all the muscles of the larynx (except the cricothyroid), is a branch of the 10th cranial nerve, the vagus.",oscapify_template,nlp-1-20241028,no
nlp-2-20241028,37848937,PMC10583388,10.1186/s12974-023-02902-x,Splanchnic nerves provide sympathetic pre-ganglionic fibers to celiac–superior mesenteric ganglion neurons whose axons form the splenic nerve releasing NE to the spleen [31–34].,oscapify_template,nlp-2-20241028,no
nlp-3-20241028,37857771,PMC10587061,10.1038/s41598-023-44601-w,"Interestingly, Pavlov et al. reviewed that the vagus afferent sensory fibers in the nodose ganglion terminate primarily within medullary areas of the NTS, RVLM, and dorsal motor nucleus of the vagus.",oscapify_template,nlp-3-20241028,no
nlp-4-20241028,37857771,PMC10587061,10.1038/s41598-023-44601-w,"Interestingly, Pavlov et al. reviewed that the vagus afferent sensory fibers in the nodose ganglion terminate primarily within medullary areas of the NTS, RVLM, and dorsal motor nucleus of the vagus.",oscapify_template,nlp-4-20241028,no
nlp-5-20241028,37166201,PMC10599644,10.1093/procel/pwad026,"The vagus nerve is the tenth cranial nerve, of which the hepatic and celiac branches innervate the gut.",oscapify_template,nlp-5-20241028,no
nlp-6-20241028,37891825,PMC10605055,10.3390/brainsci13101456,"The sensory information originating from the gut is conveyed via vagus nerve sensory fibers that terminate in the nodose ganglia, where the incoming sensory signals are processed.",oscapify_template,nlp-6-20241028,no
nlp-7-20241028,37893430,PMC10608348,10.3390/medicina59101712,"FN Canal dehiscence/erosion—Fallopian canal dehiscence/erosion is a relatively common finding in cholesteatoma affecting the middle ear, usually occurring in the tympanic portion of the facial nerve canal [8,29].",oscapify_template,nlp-7-20241028,no
nlp-8-20241028,37831494,PMC10612000,10.2196/48387,"Vagus nerve stimulation (VNS) stimulates the tenth cranial nerve, the longest nerve of the organism that links the central nervous system and body by innervating major organs, such as the heart, lungs, and gastrointestinal tract.",oscapify_template,nlp-8-20241028,no
nlp-9-20241028,37923783,PMC10624888,10.1038/s41598-023-45908-4,"According to the polyvagal theory, the vagus nerve plays a role in a hierarchical model of reactions to stress and social interaction, which consists of two primary branches: the ventral vagus and the dorsal vagus.",oscapify_template,nlp-9-20241028,no
nlp-10-20241028,37841661,PMC10570629,10.1016/j.reth.2023.09.012,"They, which called the chorda tympani, branch off from the main trunk of the facial nerve near the stylomastoid foramen, pass through the tympanic cavity, and attach to the lingual nerve of the mandibular nerve.",oscapify_template,nlp-10-20241028,no
nlp-11-20241028,37841661,PMC10570629,10.1016/j.reth.2023.09.012,"They, which called the chorda tympani, branch off from the main trunk of the facial nerve near the stylomastoid foramen, pass through the tympanic cavity, and attach to the lingual nerve of the mandibular nerve.",oscapify_template,nlp-11-20241028,no
nlp-12-20241028,37841661,PMC10570629,10.1016/j.reth.2023.09.012,"They, which called the chorda tympani, branch off from the main trunk of the facial nerve near the stylomastoid foramen, pass through the tympanic cavity, and attach to the lingual nerve of the mandibular nerve.",oscapify_template,nlp-12-20241028,no
nlp-13-20241028,37899521,PMC10613850,10.3348/kjr.2023.0150,"The pudendal canal, also known as Alcock’s canal, houses the pudendal nerve.",oscapify_template,nlp-13-20241028,no
nlp-14-20241028,32209522,PMC7224434,10.5152/iao.2020.6882,"The chorda tympani is a branch of the facial nerve that separates off above the stylomastoid foramen, runs through the canaliculus, and then appears on the lateral wall of the tympanum.",oscapify_template,nlp-14-20241028,no
nlp-15-20241028,37987335,PMC10660501,10.3390/audiolres13060077,The tympanic segment of the facial nerve is another area extremely vulnerable to inflammatory processes within the middle ear.,oscapify_template,nlp-15-20241028,no
nlp-16-20241028,38026983,PMC10665510,10.3389/fphar.2023.1267254,3.4 GE decreases the protein expression of 5-HT3A and 4 receptors in the nodose ganglion of the vagus nerve.,oscapify_template,nlp-16-20241028,no
nlp-17-20241028,38001601,PMC10670589,10.3390/cancers15225341,"It can be found in 27.0–72.5% of crania according to ethnicity [18,19], and hosts the pterygovaginal artery (branch of the internal maxillary artery) and the pharyngeal nerve from the pterygopalatine ganglion to the pharyngeal orifice of the auditory tube [18].",oscapify_template,nlp-17-20241028,no
nlp-18-20241028,38042771,PMC10693057,10.1186/s12883-023-03482-2,"The maxillary nerve, as one of the second branches of the trigeminal nerve, plays a significant role in supplying sensory components to the nasal cavity and paranasal sinuses [32].",oscapify_template,nlp-18-20241028,no
nlp-19-20241028,37989590,PMC10698635,10.1523/ENEURO.0350-23.2023,The vagal ganglion is composed of the anatomically distinct nodose ganglion and the jugular ganglion.,oscapify_template,nlp-19-20241028,no
nlp-20-20241028,37989590,PMC10698635,10.1523/ENEURO.0350-23.2023,The vagal ganglion is composed of the anatomically distinct nodose ganglion and the jugular ganglion.,oscapify_template,nlp-20-20241028,no
nlp-21-20241028,38060739,PMC10699330,10.7759/cureus.48367,"The intratemporal portion of the facial nerve branches into the greater petrosal nerve, the nerve to the stapedius muscle, and the chorda tympani nerve [9].",oscapify_template,nlp-21-20241028,no
nlp-22-20241028,38063626,PMC10705895,10.3390/healthcare11233058,"The three branches of the trigeminal nerve reunite at the Gasserian ganglion and, subsequently, reach the trigeminal nuclei in the brainstem.",oscapify_template,nlp-22-20241028,no
nlp-23-20241028,38024468,PMC10644746,10.1177/2333794X231208365,"The facial nerve can now be divided into 5 intracranial segments (cisternal, intracanalicular, labyrinthine, tympanic, and mastoid) and one extracranial intraparotid segment.",oscapify_template,nlp-23-20241028,no
nlp-24-20241028,37789621,PMC10645193,10.5152/iao.2023.231073,Fine structures such as the tympanic portion of the facial nerve (Figure 5) as well as the superior semi-circular canal (Figure 6) are also identified with a high degree of accuracy including in coronal slices where the structure may only be a few pixels wide.,oscapify_template,nlp-24-20241028,no
nlp-25-20241028,38020410,PMC10652047,10.4274/tao.2023.2023-3-4,"The maxillary nerve is part of the trigeminal nerve and its largest cutaneous branch is the infraorbital nerve (5, 6, 7).",oscapify_template,nlp-25-20241028,no
