o;o_label;o_synonym
http://api.brain-map.org/api/v2/data/Structure/1047;Primary somatosensory area, barrel field, layer 4 (mba);Primary somatosensory area barrel field layer 4
http://api.brain-map.org/api/v2/data/Structure/1066;Anteromedial visual area, layer 2/3 (mba);Anteromedial visual area layer 2/3
http://api.brain-map.org/api/v2/data/Structure/1070;Primary somatosensory area, barrel field, layer 5 (mba);Primary somatosensory area barrel field layer 5
http://api.brain-map.org/api/v2/data/Structure/1074;Anterolateral visual area, layer 1 (mba);Anterolateral visual area layer 1
http://api.brain-map.org/api/v2/data/Structure/1086;Primary somatosensory area, trunk, layer 4 (mba);Primary somatosensory area trunk layer 4
http://api.brain-map.org/api/v2/data/Structure/1111;Primary somatosensory area, trunk, layer 5 (mba);Primary somatosensory area trunk layer 5
http://api.brain-map.org/api/v2/data/Structure/1114;Anterolateral visual area, layer 4 (mba);Anterolateral visual area layer 4
http://api.brain-map.org/api/v2/data/Structure/121;Lateral visual area, layer 6b (mba);Lateral visual area layer 6b
http://api.brain-map.org/api/v2/data/Structure/182305705;Primary somatosensory area, unassigned, layer 5 (mba);Primary somatosensory area unassigned layer 5
http://api.brain-map.org/api/v2/data/Structure/201;Primary somatosensory area, barrel field, layer 2/3 (mba);Primary somatosensory area barrel field layer 2/3
http://api.brain-map.org/api/v2/data/Structure/233;Anterolateral visual area, layer 5 (mba);Anterolateral visual area layer 5
http://api.brain-map.org/api/v2/data/Structure/234;Temporal association areas, layer 4 (mba);Temporal association areas layer 4
http://api.brain-map.org/api/v2/data/Structure/251;Primary auditory area, layer 2/3 (mba);Primary auditory area layer 2/3
http://api.brain-map.org/api/v2/data/Structure/257;posteromedial visual area, layer 6a (mba);posteromedial visual area layer 6a
http://api.brain-map.org/api/v2/data/Structure/269;Posterolateral visual area, layer 2/3 (mba);Posterolateral visual area layer 2/3
http://api.brain-map.org/api/v2/data/Structure/274;Retrosplenial area, dorsal part, layer 6a (mba);Retrosplenial area dorsal part layer 6a
http://api.brain-map.org/api/v2/data/Structure/281;Anteromedial visual area, layer 1 (mba);Anteromedial visual area layer 1
http://api.brain-map.org/api/v2/data/Structure/305;Primary visual area, layer 6b (mba);Primary visual area layer 6b
http://api.brain-map.org/api/v2/data/Structure/312782558;Anterior area, layer 4 (mba);Anterior area layer 4
http://api.brain-map.org/api/v2/data/Structure/312782562;Anterior area, layer 5 (mba);Anterior area layer 5
http://api.brain-map.org/api/v2/data/Structure/312782570;Anterior area, layer 6b (mba);Anterior area layer 6b
http://api.brain-map.org/api/v2/data/Structure/312782582;Laterointermediate area, layer 2/3 (mba);Laterointermediate area layer 2/3
http://api.brain-map.org/api/v2/data/Structure/312782586;Laterointermediate area, layer 4 (mba);Laterointermediate area layer 4
http://api.brain-map.org/api/v2/data/Structure/312782590;Laterointermediate area, layer 5 (mba);Laterointermediate area layer 5
http://api.brain-map.org/api/v2/data/Structure/312782594;Laterointermediate area, layer 6a (mba);Laterointermediate area layer 6a
http://api.brain-map.org/api/v2/data/Structure/312782598;Laterointermediate area, layer 6b (mba);Laterointermediate area layer 6b
http://api.brain-map.org/api/v2/data/Structure/312782608;Rostrolateral area, layer 2/3 (mba);Rostrolateral area layer 2/3
http://api.brain-map.org/api/v2/data/Structure/312782612;Rostrolateral area, layer 4 (mba);Rostrolateral area layer 4
http://api.brain-map.org/api/v2/data/Structure/312782620;Rostrolateral area, layer 6a (mba);Rostrolateral area layer 6a
http://api.brain-map.org/api/v2/data/Structure/312782636;Postrhinal area, layer 2/3 (mba);Postrhinal area layer 2/3
http://api.brain-map.org/api/v2/data/Structure/312782640;Postrhinal area, layer 4 (mba);Postrhinal area layer 4
http://api.brain-map.org/api/v2/data/Structure/312782644;Postrhinal area, layer 5 (mba);Postrhinal area layer 5
http://api.brain-map.org/api/v2/data/Structure/312782648;Postrhinal area, layer 6a (mba);Postrhinal area layer 6a
http://api.brain-map.org/api/v2/data/Structure/312782652;Postrhinal area, layer 6b (mba);Postrhinal area layer 6b
http://api.brain-map.org/api/v2/data/Structure/33;Primary visual area, layer 6a (mba);Primary visual area layer 6a
http://api.brain-map.org/api/v2/data/Structure/393;Posterolateral visual area, layer 6b (mba);Posterolateral visual area layer 6b
http://api.brain-map.org/api/v2/data/Structure/401;Anteromedial visual area, layer 4 (mba);Anteromedial visual area layer 4
http://api.brain-map.org/api/v2/data/Structure/41;posteromedial visual area, layer 2/3 (mba);posteromedial visual area layer 2/3
http://api.brain-map.org/api/v2/data/Structure/421;Lateral visual area, layer 1 (mba);Lateral visual area layer 1
http://api.brain-map.org/api/v2/data/Structure/433;Anteromedial visual area, layer 5 (mba);Anteromedial visual area layer 5
