o,o_lable,o_synonym
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,canalis cervicis uteri
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,caudal segment of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervical canal
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervical canal of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervix
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervix of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervix uteri
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,neck of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,uterine cervix
http://purl.obolibrary.org/obo/UBERON_0000003,naris,
http://purl.obolibrary.org/obo/UBERON_0000004,nose,nasal sac
http://purl.obolibrary.org/obo/UBERON_0000004,nose,nasus
http://purl.obolibrary.org/obo/UBERON_0000004,nose,nose
http://purl.obolibrary.org/obo/UBERON_0000004,nose,olfactory apparatus
http://purl.obolibrary.org/obo/UBERON_0000004,nose,peripheral olfactory organ
http://purl.obolibrary.org/obo/UBERON_0000004,nose,proboscis
http://purl.obolibrary.org/obo/UBERON_0000005,chemosensory organ,chemosensory sensory organ
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,island of Langerhans
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,island of pancreas
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,islets of Langerhans
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,pancreatic insula
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,pancreatic islet
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,Hp
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,glandula pituitaria
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,hypophysis
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,hypophysis cerebri
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,pituitary
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,pituitary body
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,organ submucosa
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,region of submucosa
