id;doc_type;pmid;pmcid;doi;sentence;batch_name;vocabulary;sentence_id;relation_type;human_annotated;classifier_score;relation_id;entity1_end_index;entity1_start_index;entity1_ne_type;entity1_entity;entity2_end_index;entity2_start_index;entity2_ne_type;entity2_entity;initial_review_completed;nlp_status;out_of_scope;non_mammalian;status_update_time;status_update_uid;status_update_uname;possible_reference;already_exists;incorrect_relationship;submit_for_ke;ke_update_time;ke_update_uid;ke_update_uname;;;
1;f;0;PMC7383063;;In addition, we examined isolated single cardiomyocytes to demonstrate the direct influence of BH4 on heart contractility in the absence of vagus or sympathetic nerve regulation, with the results suggesting that intra-ventricular signaling pathways were targeted by BH4 in DCM.;joe_annotated_pmc_oai;nerve_ganglia_vocab;418;functional-connectivity;TRUE;1;422;107;102;structure;heart;145;140;structure;vagus;yes;no;no;no;1661218137;36111;Vicky Guo;0;1;0;yes;1659479718;36111;Vicky Guo;;;
2;f;0;PMC7383063;;In addition, we examined isolated single cardiomyocytes to demonstrate the direct influence of BH4 on heart contractility in the absence of vagus or sympathetic nerve regulation, with the results suggesting that intra-ventricular signaling pathways were targeted by BH4 in DCM.;joe_annotated_pmc_oai;nerve_ganglia_vocab;418;functional-connectivity;TRUE;1;423;107;102;structure;heart;166;149;structure;sympathetic nerve;NULL;yes;no;no;1659584190;36111;Vicky Guo;0;1;NULL;no;1659479724;36111;Vicky Guo;;;
3;f;0;PMC2275109;;The suprachiasmatic nucleus (SCN) of the hypothalamus, which is the master clock in mammals, is entrained by light to keep pace with the day?night cycle autonomic nerve and humoral factors coordinate circadian clocks in peripheral tissues (2,3).;joe_annotated_pmc_oai;nerve_ganglia_vocab;427;general-connectivity;TRUE;1;431;27;4;structure;suprachiasmatic nucleus;168;153;structure;autonomic nerve;yes;NULL;yes;no;1659576662;36111;Vicky Guo;;;NULL;;NULL;NULL;NULL;;;
4;f;0;PMC2275109;;The suprachiasmatic nucleus (SCN) of the hypothalamus, which is the master clock in mammals, is entrained by light to keep pace with the day?night cycle autonomic nerve and humoral factors coordinate circadian clocks in peripheral tissues (2,3).;joe_annotated_pmc_oai;nerve_ganglia_vocab;427;general-connectivity;TRUE;1;432;53;41;structure;hypothalamus;168;153;structure;autonomic nerve;yes;NULL;yes;no;1659479804;36111;Vicky Guo;0;0;NULL;0;NULL;NULL;NULL;;;
5;f;0;PMC5063261;;Histologically, the SAN is intramurally embedded at the junction of the right atrium and the superior vena cava and lies along the crista terminalis [3].;joe_annotated_pmc_oai;nerve_ganglia_vocab;436;topological-connectivity;TRUE;1;442;23;20;structure;SAN;84;72;structure;right atrium;yes;yes;no;NULL;1661274456;36111;Vicky Guo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
6;f;0;PMC5063261;;Histologically, the SAN is intramurally embedded at the junction of the right atrium and the superior vena cava and lies along the crista terminalis [3].;joe_annotated_pmc_oai;nerve_ganglia_vocab;436;anatomical-connectivity;TRUE;1;443;84;72;structure;right atrium;148;138;structure;terminalis;yes;yes;no;yes;1661274456;36111;Vicky Guo;;;NULL;;NULL;NULL;NULL;;;
7;f;0;PMC5063261;;Histologically, the SAN is intramurally embedded at the junction of the right atrium and the superior vena cava and lies along the crista terminalis [3].;joe_annotated_pmc_oai;nerve_ganglia_vocab;436;topological-connectivity;TRUE;1;444;23;20;structure;SAN;111;93;structure;superior vena cava;yes;yes;no;NULL;1661274456;36111;Vicky Guo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
8;f;0;PMC5063261;;Histologically, the SAN is intramurally embedded at the junction of the right atrium and the superior vena cava and lies along the crista terminalis [3].;joe_annotated_pmc_oai;nerve_ganglia_vocab;436;topological-connectivity;TRUE;1;445;23;20;structure;SAN;148;131;structure;crista terminalis;yes;yes;no;NULL;1661274456;36111;Vicky Guo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
9;f;0;PMC4690819;;Lacrimal nerve, originated directly from the ophthalmic nerve, after travelling through the lacrimal gland, innervates the lateral part of the superior eyelid skin.;joe_annotated_pmc_oai;nerve_ganglia_vocab;452;structural-connectivity;TRUE;1;455;14;0;structure;Lacrimal nerve;61;45;structure;ophthalmic nerve;yes;NULL;NULL;NULL;1661225172;36111;Vicky Guo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
10;f;0;PMC4713404;;To explain the inhibitory effect of tibial nerve stimulation on the bladder, most studies have focused on urodynamic parameters.;joe_annotated_pmc_oai;nerve_ganglia_vocab;458;functional-connectivity;TRUE;1;461;48;36;structure;tibial nerve;75;68;structure;bladder;yes;NULL;NULL;NULL;1661286557;36111;Vicky Guo;NULL;NULL;NULL;yes;1661286561;36111;Vicky Guo;;;
