id,doc_type,pmid,pmcid,doi,sentence,batch_name,vocabulary,sentence_id,relation_type,human_annotated,classifier_score,relation_id,entity1_end_index,entity1_start_index,entity1_ne_type,entity1_entity,entity2_end_index,entity2_start_index,entity2_ne_type,entity2_entity,initial_review_completed,nlp_status,out_of_scope,non_mammalian,status_update_time,possible_reference,already_exists,incorrect_relationship,submit_for_ke,ke_update_time
1538,f,0,6813484,,The vagus carries its preganglionic parasympathetic fibres from the dorsal nucleus of the vagus nerve.,pmc_oai_202111,nerve_ganglia_vocab,3938407,anatomical-connectivity,False,0.999208,3938410,9,4,structure,vagus,101,90,structure,vagus nerve,yes,,,,1660686265,1,1,,yes,1683174475
1540,f,0,6813484,,The glossopharyngeal nerve carries the preganglionic parasympathetic fibres from the inferior salivatory nucleus which synapse in the otic ganglion and send their postganglionic fibres to the parotid gland.,pmc_oai_202111,nerve_ganglia_vocab,3938399,anatomical-connectivity,False,0.995943,3938402,26,4,structure,glossopharyngeal nerve,147,134,structure,otic ganglion,yes,,,,1660686486,,0,,yes,1660686489
1556,f,0,7720358,,"The pudendal nerve was identified as it courses through the pudendal canal (Alcock’s canal), formed by the obturator fascia.",pmc_oai_202111,nerve_ganglia_vocab,3938529,topological-connectivity,False,0.988163,3938532,18,4,structure,pudendal nerve,68,60,structure,pudendal,yes,,,,1660715387,,0,,yes,1660715392
1557,f,0,5081457,,"Taking into account proximal branching of the laryngeal nerve from the vagus as an anatomical variation, the absence of motor function after distal V1 stimulation reveals the presence of nonrecurrent course of the nerve.",pmc_oai_202111,nerve_ganglia_vocab,3938547,structural-connectivity,False,0.911991,3938550,61,46,structure,laryngeal nerve,76,71,structure,vagus,yes,,,,1660715520,,0,,yes,1660715530
1558,f,0,3287034,,Somatic nervous system innervation to the external urethral sphincter arises from the pudendal (Onuf's) nucleus at the S2–S4 cord level which then passes through the pudendal nerve to the sphincter striated muscle.,pmc_oai_202111,nerve_ganglia_vocab,3938563,topological-connectivity,False,0.828966,3938566,94,86,structure,pudendal,180,166,structure,pudendal nerve,yes,,,,1660715781,,0,,yes,1660715786
1563,f,0,3911799,,The posterior superior and inferior nasal branches and nasopalatine nerves originate from the pterygopalatine ganglion.,pmc_oai_202111,nerve_ganglia_vocab,3938588,structural-connectivity,False,0.99911,3938591,74,55,structure,nasopalatine nerves,118,94,structure,pterygopalatine ganglion,yes,,,,1660716647,,0,,yes,1660716650
1564,f,0,8141999,,"Intervertebral discs are innervated by the sinuvertebral nerve (Shayota et al, 2019), which carries pain impulses from the injured disc to the sympathetic ganglion at the same level (L4).",pmc_oai_202111,nerve_ganglia_vocab,3938608,anatomical-connectivity,False,0.743286,3938611,62,43,structure,sinuvertebral nerve,163,143,structure,sympathetic ganglion,yes,,,,1660716883,,0,,yes,1660716885
1570,f,0,7301823,,"The lacrimal gland receives sensory nerve supply from the lacrimal nerve, a branch of the ophthalmic nerve, via the communicating branch and the zygomatic nerve, a branch of the maxillary nerve.",pmc_oai_202111,nerve_ganglia_vocab,3938619,anatomical-connectivity,False,0.947271,3938622,72,58,structure,lacrimal nerve,193,178,structure,maxillary nerve,yes,,,,1660717065,,0,,yes,1660717068
1576,f,0,4927428,,The forehead is innervated by the frontal and nasociliary nerves: both are branches of the first division of the trigeminal nerve.,pmc_oai_202111,nerve_ganglia_vocab,3938662,structural-connectivity,False,0.548126,3938665,57,46,structure,nasociliary,129,113,structure,trigeminal nerve,yes,,,,1666291146,1,0,,yes,1666291156
1578,f,0,6624329,,"First described by the German anatomist Hubert von Luschka in 1850, the sinuvertebral nerve has since acquired many other names including the recurrent nerve of Luschka, recurrent meningeal nerve, ramus meningeus, and meningeal branch of the spinal nerve.",pmc_oai_202111,nerve_ganglia_vocab,3938678,structural-connectivity,False,0.658608,3938681,91,72,structure,sinuvertebral nerve,157,142,structure,recurrent nerve,yes,,,,1666291516,1,0,,yes,1666291522
1586,f,0,8225485,,"The third branch, the interior communicating branch of the superior cervical ganglion to the superior laryngeal nerve, travels posteriorly and medially down the external carotid artery until it arrives at the STA [2, 5].",pmc_oai_202111,nerve_ganglia_vocab,3938720,anatomical-connectivity,False,0.990589,3938723,85,59,structure,superior cervical ganglion,117,93,structure,superior laryngeal nerve,yes,,,,1666292057,1,,,yes,1666292059
1587,f,0,8225485,,"Occasionally, the communicating branch of the superior cervical ganglion to the superior laryngeal nerve may instead travel around the lingual artery and provide a separate branch that travels to the STA [2].",pmc_oai_202111,nerve_ganglia_vocab,3938731,anatomical-connectivity,False,0.985253,3938734,72,46,structure,superior cervical ganglion,104,80,structure,superior laryngeal nerve,yes,,,,1666292078,,,,yes,1666292080
1588,f,0,8225485,,"The communicating branch of the superior cervical ganglion to the superior laryngeal nerve gives off fine filaments that supply the STA with the vagus nerve, resulting in a secondary plexus known as the superior thyroid plexus [2, 7].",pmc_oai_202111,nerve_ganglia_vocab,3938724,anatomical-connectivity,False,0.996036,3938728,58,32,structure,superior cervical ganglion,156,145,structure,vagus nerve,yes,,,,1666292086,,,,yes,1666292087
1589,f,0,8225485,,"The communicating branch of the superior cervical ganglion to the superior laryngeal nerve gives off fine filaments that supply the STA with the vagus nerve, resulting in a secondary plexus known as the superior thyroid plexus [2, 7].",pmc_oai_202111,nerve_ganglia_vocab,3938724,anatomical-connectivity,False,0.983664,3938729,58,32,structure,superior cervical ganglion,90,66,structure,superior laryngeal nerve,yes,,,,1666292086,,,,yes,1666292087
1590,f,0,8225485,,"The communicating branch of the superior cervical ganglion to the superior laryngeal nerve gives off fine filaments that supply the STA with the vagus nerve, resulting in a secondary plexus known as the superior thyroid plexus [2, 7].",pmc_oai_202111,nerve_ganglia_vocab,3938724,anatomical-connectivity,False,0.524398,3938730,90,66,structure,superior laryngeal nerve,156,145,structure,vagus nerve,yes,,,,1666292086,,,,yes,1666292087
1599,f,0,6810755,,(C–H) Confocal microscope images of individual sympathetic chain ganglia at thoracic levels T2−T7 in the same mouse for which the stellate ganglion is shown in (B).,pmc_oai_202111,nerve_ganglia_vocab,3938880,structural-connectivity,False,0.999201,3938883,72,47,structure,sympathetic chain ganglia,147,130,structure,stellate ganglion,yes,,,,1661275195,1,0,,yes,1661275199
1621,f,0,1479832,,"The penile nerve was chosen as it is a well-characterised projection from the pelvic ganglion, and is both easily identifiable and readily accessible for experimental intervention.",pmc_oai_202111,nerve_ganglia_vocab,3939262,topological-connectivity,False,0.535344,3939265,16,4,structure,penile nerve,93,78,structure,pelvic ganglion,yes,,,,1668790400,1,0,,yes,1668790407
1622,f,0,1479832,,"Following penile nerve lesion, VIP fibres formed basket-like structures around pelvic ganglion neurons, many of which were injured (i.e. FG-labelled).",pmc_oai_202111,nerve_ganglia_vocab,3939266,structural-connectivity,False,0.998463,3939269,22,10,structure,penile nerve,94,79,structure,pelvic ganglion,yes,,,,1668790432,,,,yes,1668790436
1636,f,0,7945661,,"Within the fossa, the PN branches into the perineal nerve that innervates the PFM and the skin of the labium majus as well as the dorsal nerve of the clitoris that innervates the skin of the clitoral shaft [13].",pmc_oai_202111,nerve_ganglia_vocab,3939434,anatomical-connectivity,False,0.997586,3939437,57,43,structure,perineal nerve,158,130,structure,dorsal nerve of the clitoris,yes,,,,1668906346,1,,,yes,1668906350
1641,f,0,7098239,,"Vagus nerve afferent neurons are pseudounipolar cells residing in the nodose ganglia (Berthoud & Neuhuber, 2000).",pmc_oai_202111,nerve_ganglia_vocab,3939516,functional-connectivity,False,0.741738,3939519,11,0,structure,Vagus nerve,84,70,structure,nodose ganglia,yes,,,,1668906771,1,,,yes,1668906781
1642,f,0,7098241,,"It comprises applications in the central nervous system (CNS), including spinal cord stimulation and deep brain stimulation, and applications in the peripheral nervous system (PNS), including vagus nerve stimulation, sacral nerve stimulation, and others.",pmc_oai_202111,nerve_ganglia_vocab,3939523,structural-connectivity,False,0.593352,3939526,203,192,structure,vagus nerve,229,217,structure,sacral nerve,yes,,,,1668906874,1,,,yes,1668906878
1653,f,0,4017796,,"Visceral pain arises from the stimulation of a celiac ganglion, which then sends a signal to the splanchnic nerves [6].",pmc_oai_202111,nerve_ganglia_vocab,3939613,anatomical-connectivity,False,0.647731,3939616,62,47,structure,celiac ganglion,114,97,structure,splanchnic nerves,yes,,,,1668908785,1,1,,yes,1668908790
1660,f,0,5156788,,"The ophthalmic nerve and occasionally the maxillary branch of the trigeminal nerve innervate the cornea [8, 9], and the superior cervical ganglion supplies sympathetic innervation to the limbus and peripheral cornea [10].",pmc_oai_202111,nerve_ganglia_vocab,3939668,functional-connectivity,False,0.994805,3939671,82,66,structure,trigeminal nerve,146,120,structure,superior cervical ganglion,yes,,,,1668909639,1,0,,yes,1668909748
1706,f,0,4010048,,"High spinal cord injuries interrupt the course of preganglionic sympathetic interneurons, which originate in the hypothalamus and exit the spinal cord from T1 to T6 to synapse with postganglionic sympathetic neurons in the middle cervical ganglion and stellate ganglion [4].",pmc_oai_202111,nerve_ganglia_vocab,3940032,anatomical-connectivity,False,0.756348,3940035,247,223,structure,middle cervical ganglion,269,252,structure,stellate ganglion,yes,,,,1670355441,,0,1,yes,1670356008
1745,f,0,7027871,,"Color code: green: anterior vagal trunk with gastric branches, yellow: phrenic nerve with muscular branches and esophageal/esophagogastric branch; light blue dotted: left gastric plexus; light red: left inferior phrenic artery.",pmc_oai_202111,nerve_ganglia_vocab,3940402,structural-connectivity,False,0.997679,3940405,84,71,structure,phrenic nerve,219,212,structure,phrenic,yes,,,,1670356788,1,0,,yes,1670356829
1777,f,0,6070065,,"The vagus performs different anastomoses, including the sympathetic system at the cervical and abdominal levels and the phrenic nerve, the vagus nerve itself (loop or anastomosis of Galenum), the nerve XI (Lobstein anastomosis), nerve IX, and the ansa cervicalis [15-17].",pmc_oai_202111,nerve_ganglia_vocab,3940716,structural-connectivity,False,0.771335,3940719,133,120,structure,phrenic nerve,237,229,structure,nerve IX,yes,,,,1670361069,,0,,yes,1670361234
1778,f,0,6153095,,"In the sub-diaphragmatic region, the phrenic nerve forms anastomoses with the celiac ganglion and the superior mesenteric ganglion and constitutes small phrenic ganglia, to finally reach the adrenal gland [24].",pmc_oai_202111,nerve_ganglia_vocab,3940724,structural-connectivity,False,0.998952,3940727,93,78,structure,celiac ganglion,160,153,structure,phrenic,yes,,,,1670361494,1,0,,yes,1670361524
1811,f,0,7359176,,The baroreceptor activity travels along the glossopharyngeal nerve and vagal nerve up to the NTS.,pmc_oai_202111,nerve_ganglia_vocab,3940954,structural-connectivity,False,0.990795,3940957,66,44,structure,glossopharyngeal nerve,82,71,structure,vagal nerve,yes,,,,1670525104,1,1,,yes,1670525118
