id,doc_type,pmid,pmcid,doi,sentence,batch_name,vocabulary,sentence_id,relation_type,human_annotated,classifier_score,relation_id,entity1_end_index,entity1_start_index,entity1_ne_type,entity1_entity,entity2_end_index,entity2_start_index,entity2_ne_type,entity2_entity,initial_review_completed,nlp_status,out_of_scope,non_mammalian,status_update_time,possible_reference,already_exists,incorrect_relationship,submit_for_ke,ke_update_time
3696,f,32676423,,,"The pudendal motor neurons enhance erection through the motor fibers of the pudendal nerve that innervate the ischiocavernosus muscle (22,23).",pmc_oai_202209,nerve_ganglia_vocab,9832190,functional connectivity,False,0.99264,9832193,12,4,structure,pudendal,90,76,structure,pudendal nerve,yes,,,,1686223344.0,1,,,yes,1686223349.0
3697,f,35071450,,,"Pelvic splanchnic nerve (PSN): while the PSN is generally thought to be composed of the second sacral nerve (S2), the third sacral nerve (S3), and the fourth sacral nerve (S4), anatomy studies have revealed it could also originate from the first sacral nerve (S1).",pmc_oai_202209,nerve_ganglia_vocab,9832195,structural connectivity,False,0.983038,9832198,23,0,structure,Pelvic splanchnic nerve,170,158,structure,sacral nerve,yes,,,,1686223699.0,1,,,yes,1686223703.0
3698,f,35902714,,,"Nociceptive impulses arising from the face and oral structures are carried by the primary afferent neuron of the mandibular or maxillary division of the trigeminal nerve (V2, V3) through the gasserian ganglion into the subnucleus caudalis region of the trigeminal spinal tract.",pmc_oai_202209,nerve_ganglia_vocab,9832200,anatomical connectivity,False,0.998881,9832203,169,153,structure,trigeminal nerve,209,191,structure,gasserian ganglion,,,yes,,1686223739.0,,,,no,1686223739.0
3699,f,0,PMC9365615,,Location of the Tympanic Segment of the Facial Nerve Canal.,pmc_oai_202209,nerve_ganglia_vocab,9832205,structural connectivity,False,0.997068,9832208,24,16,structure,Tympanic,52,40,structure,Facial Nerve,,,yes,,1686223768.0,,,,no,1686223768.0
3700,f,0,PMC9365615,,"For instance, the association between the preoperative hearing loss and severity of simple middle ear malformation was not sufficiently investigated, and the incidence of the defects of the tympanic segment of the facial nerve was not analyzed in detail.",pmc_oai_202209,nerve_ganglia_vocab,9832233,structural connectivity,False,0.997043,9832236,198,190,structure,tympanic,226,214,structure,facial nerve,,,yes,,1686223792.0,,,,no,1686223792.0
3701,f,0,PMC9365615,,"Therefore, we speculated that the FNC-LSC distance >0.98â€‰mm or FNC-OW distance <0.78â€‰mm could be used as the diagnostic criteria for lower shifting of the tympanic segment of the facial nerve canal on MSCT images.",pmc_oai_202209,nerve_ganglia_vocab,9832229,structural connectivity,False,0.940437,9832232,163,155,structure,tympanic,191,179,structure,facial nerve,,,yes,,1686223800.0,,,,no,1686223800.0
3702,f,0,PMC9365615,,"In this study, the distance between the inner side of the tympanic segment of the facial nerve canal and upper-lateral point of the middle area of oval window was about 1.13â€‰Â±â€‰0.18â€‰mm in the control group.",pmc_oai_202209,nerve_ganglia_vocab,9832225,structural connectivity,False,0.986011,9832228,66,58,structure,tympanic,94,82,structure,facial nerve,,,yes,,1686223808.0,,,,no,1686223808.0
3703,f,0,PMC9365615,,"Protor et al. [25] have pointed out that the tympanic segment of the facial nerve canal and lateral semicircular canal is separated by a bone plate, while the distance between these two structures is only 1â€‰mm at the ampullar region and is 2â€‰mm at the arch region.",pmc_oai_202209,nerve_ganglia_vocab,9832221,structural connectivity,False,0.994834,9832224,53,45,structure,tympanic,81,69,structure,facial nerve,,,yes,,1686223814.0,,,,no,1686223814.0
3704,f,0,PMC9365615,,"The distance between the tympanic segment of the facial nerve canal and the lateral semicircular canal was 0.79â€‰Â±â€‰0.11â€‰mm in the control group, similar to a previous study [25].",pmc_oai_202209,nerve_ganglia_vocab,9832217,structural connectivity,False,0.994551,9832220,33,25,structure,tympanic,61,49,structure,facial nerve,,,yes,,1686223820.0,,,,no,1686223820.0
3705,f,0,PMC9365615,,Measuring the vertical distances between the facial nerve and lateral semicircular canal or oval window at the layer of oval window on the coronal MPR images before operation help determine the existence of a low-shift of tympanic segment of the facial nerve canal.,pmc_oai_202209,nerve_ganglia_vocab,9832213,structural connectivity,False,0.994309,9832216,230,222,structure,tympanic,57,45,structure,facial nerve,,,yes,,1686223828.0,,,,no,1686223828.0
