id,doc_type,pmid,pmcid,doi,sentence,batch_name,vocabulary,sentence_id,relation_type,human_annotated,classifier_score,relation_id,entity1_end_index,entity1_start_index,entity1_ne_type,entity1_entity,entity2_end_index,entity2_start_index,entity2_ne_type,entity2_entity,initial_review_completed,nlp_status,out_of_scope,non_mammalian,status_update_time,possible_reference,already_exists,incorrect_relationship,submit_for_ke,ke_update_time
4771,f,36192157,,,10.1523/ENEURO.0093-22.2022.video.2The majority of the afferent vagus nerve originates from bipolar neurons residing in the nodose ganglion.,pmc_oai_202211,nerve_ganglia_vocab,10129373,topological connectivity,False,0.51795,10129376,75,64,structure,vagus nerve,139,124,structure,nodose ganglion,,,,,,,,,,
4772,f,36192157,,,"Consistent with previous studies, we found Emx1-Cre expression in peripheral organs, including the nodose ganglion whose parent cell bodies give rise to the vagus nerves detected in the dorsal medulla as afferent nerve terminals.",pmc_oai_202211,nerve_ganglia_vocab,10129377,anatomical connectivity,False,0.995879,10129380,114,99,structure,nodose ganglion,162,157,structure,vagus,,,,,,,,,,
4773,f,36192157,,,"In order to further characterize peripheral Emx1-Cre expression, we analyzed the Emx1-tdtomato signal in the neural tissue at the carotid bifurcation where the vagus nerve innervates vascular sensory structures such as the carotid body, carotid sinus, as well as the SCG (F.B. Wang et al., 2019).",pmc_oai_202211,nerve_ganglia_vocab,10129381,anatomical connectivity,False,0.9993,10129384,171,160,structure,vagus nerve,270,267,structure,SCG,,,,,,,,,,
4774,f,36216506,,,"The jugular ganglion, located just rostral to the nodose-petrosal ganglion on the vagus nerve, is derived from the neural crest and therefore does not express PHOX2B (Prescott et al., 2020).",pmc_oai_202211,nerve_ganglia_vocab,10129398,topological connectivity,False,0.987112,10129401,20,4,structure,jugular ganglion,93,82,structure,vagus nerve,,,,,,,,,,
4775,f,36216506,,,"The jugular ganglion is just anterior along the vagus and is positioned in the lower half of the image, indicated by the white arrow.",pmc_oai_202211,nerve_ganglia_vocab,10129386,topological connectivity,False,0.99529,10129389,20,4,structure,jugular ganglion,53,48,structure,vagus,,,,,,,,,,
4776,f,36216506,,,In rodents the petrosal ganglion is part of the nodose-petrosal-jugular complex that is located on the vagus nerve near the bifurcation of the carotid artery.,pmc_oai_202211,nerve_ganglia_vocab,10129390,topological connectivity,False,0.967345,10129393,32,15,structure,petrosal ganglion,114,103,structure,vagus nerve,,,,,,,,,,
4777,f,36216506,,,"Cell bodies of the CT and GSP reside in the geniculate ganglion, whereas cell bodies glossopharyngeal nerve reside in the petrosal ganglion.",pmc_oai_202211,nerve_ganglia_vocab,10129394,topological connectivity,False,0.959787,10129397,107,85,structure,glossopharyngeal nerve,139,122,structure,petrosal ganglion,,,,,,,,,,
4778,f,0,PMC9585240,,"Large fibers of the vagus nerves of spontaneously hypertensive rats are clustered in peripheral regions of the vagus nerve (Licursi de Alc̢ntara et al., 2008).",pmc_oai_202211,nerve_ganglia_vocab,10129403,topological connectivity,False,0.518944,10129406,25,20,structure,vagus,122,111,structure,vagus nerve,,,,,,,,,,
4779,f,36261927,,,"Subsequently, the fifth cranial nerve courses through the porus trigeminus and enters the Meckel cave, which forms the trigeminal or Gasserian ganglion.",pmc_oai_202211,nerve_ganglia_vocab,10129408,topological connectivity,False,0.987322,10129413,37,18,structure,fifth cranial nerve,74,64,structure,trigeminus,,,,,,,,,,
4780,f,36261927,,,"Subsequently, the fifth cranial nerve courses through the porus trigeminus and enters the Meckel cave, which forms the trigeminal or Gasserian ganglion.",pmc_oai_202211,nerve_ganglia_vocab,10129408,topological connectivity,False,0.842772,10129412,37,18,structure,fifth cranial nerve,151,133,structure,Gasserian ganglion,,,,,,,,,,
